Claim ID,Final Claim,Source,Population,Evidence Type,Effect Size,Confidence,Limitation,Approved?
CLAIM-01,Delivery delay is the single strongest operational predictor of customer dissatisfaction on Olist.,src/statistical_engine.py,"Population E (N=95,824)",Adjusted Associative,OR = 9.8x (>3.5d late vs on-time); Pseudo R^2 = 0.120,Very High (p < 10^-50),Observational association; unmeasured product expectation mismatches,YES
CLAIM-02,Customer review scores exhibit a sharp structural slope break at 0.5 days late and enter an operational escalation zone past 3.5 days late.,src/statistical_engine.py,"Population E (N=95,824)",Econometric Breakpoint & Threshold,"tau = 0.5d (Delta AIC = -1,556); tau = 3.5d (Low review rate reaches 72.4%)",Very High (p < 10^-50),Candidate tau evaluated on discrete 0.5d grid,YES
CLAIM-03,Carrier linehaul transit accounts for 76.9% of fulfillment duration (mean 9.3d vs 2.8d seller handling) and exhibits 3.16x excess odds of dissatisfaction per standard deviation compared to seller handling.,src/statistical_engine.py,"Population E (N=95,824)",Adjusted Associative Decomposition,Carrier Standardized OR = 2.20 vs Seller OR = 1.38 (Model D); Excess Odds: +120% vs +38%,Very High (p < 10^-50),Carrier tracking lacks internal depot timestamps; measures dock-to-door transit,YES
CLAIM-04,"Pre-delivery satisfaction survey timing is strongly associated with acute customer dissatisfaction, exhibiting an adjusted odds ratio of 12.50x.",src/statistical_engine.py,"Population E (N=95,824)",Adjusted Associative & Timing Mechanism,Adjusted OR = 12.50 (95% CI: 11.58 - 13.50); 72.61% low review rate in strict pre-delivery cohort,Very High (p < 10^-50),review_creation_date is midnight-truncated; partly proxies in-transit customer anxiety,YES
CLAIM-05,Overdue-in-transit surveys account for an observed accounting share of 26.09% of all low reviews across the marketplace.,src/statistical_engine.py,"Population D All Reviewed Orders (N=98,673; 14,494 low reviews)",Descriptive Accounting Share,"3,782 low reviews / 14,494 total platform low reviews = 26.09%","Census Fact (N=98,673)","Represents historical accounting exposure, not guaranteed counterfactual recovery",YES
CLAIM-06,"Olist's marketplace operates under structural geographic seller concentration, with 70.9% of order volume fulfilled by sellers in São Paulo and 64.0% of orders crossing state lines.",src/eda_engine.py,"Population E (N=95,824)",Descriptive Census Fact,70.9% SP seller volume; 64.0% interstate shipments,Census Fact,Exogenous structural feature of Brazilian merchant distribution,YES
CLAIM-07,"The São Paulo to Rio de Janeiro trunkline is the single largest operational risk corridor, generating 1,625 low reviews (20.15% low review rate) and a 15.31% late delivery rate.",src/business_prioritization_engine.py,"Population E SP->RJ orders (N=8,065)",Descriptive Segment Fact,"N = 8,065 orders; 1,625 low reviews; Late rate = 15.31% vs 10.74% on SP->SP","Very High (N=8,065)",Corridor-level postal routing details unobserved,YES
CLAIM-08,"Product category moderation of delivery delay dissatisfaction is statistically negligible (partial eta^2 = 0.073%), indicating dissatisfaction is driven by fulfillment failure rather than category tolerance differences.",src/statistical_engine.py,"Top 10 Categories in Pop E (N=59,640)",ANOVA Interaction Test,"Partial eta^2 = 0.073% (F = 4.88, p = 1.2e-06; overpowered by large N)",High,Minor unobserved subcategory differences may exist,YES
CLAIM-09,Freight cost burden has no meaningful direct association with customer review scores once delivery duration and distance are controlled.,src/statistical_engine.py,"Population F (N=95,348)",Controlled Non-Association,Controlled OR = 1.0003 (p = 0.89); 95% CI: 0.996 - 1.005,High,Freight is prepaid at checkout; customer agrees to price upfront,YES
CLAIM-10,"The Black Friday 2017 volume shock was absorbed predominantly by carrier linehaul transit (+2.7 days surge), while merchant handling expanded by only +0.6 days.",src/statistical_engine.py,Nov 2017 vs Oct 2017 Monthly Cohorts,Historical Event Decomposition,Carrier transit surged from 8.4d to 11.1d (+2.7d); total delivery surged from 11.8d to 15.1d (+3.3d),"High (N=7,300+ orders in Nov 2017)",Observational historical comparison without carrier capacity telemetry,YES
CLAIM-11,"Proposed operational interventions target an observed historical exposure of 7,005 unique low reviews (57.08% of all delivered low reviews) after deduplicating 50.86% multi-segment overlap.",src/business_prioritization_engine.py,"Population E Interventions Union (N=32,811)",Deduplicated Union Exposure Accounting,"Gross exposure = 14,255 low reviews; Deduplicated unique exposure = 7,005 low reviews",Exact Set Accounting,"Represents historical exposure, not guaranteed counterfactual recovery",YES
