Figure_ID,Figure_File,Title,Data_Correctness,Population,Denominator,Labels_Units,Sample_Size,Decision_Supported,Verdict
fig01,fig01_monthly_marketplace_growth_divergence.png,Marketplace Growth vs Review Score Divergence,VERIFIED,"Pop A (N=99,441)",Monthly order volume & mean review score,"Orders (count), GMV (BRL), Score (1-5)","99,441 orders across 25 months",Demonstrates order volume scaling decoupled from customer satisfaction,KEEP
fig02,fig02_order_status_composition.png,Order Status Composition Breakdown,VERIFIED,"Pop A (N=99,441)",Total platform orders,Percentage (%),"99,441 orders (96,478 delivered, 2,963 other)",Justifies filtering non-delivered orders for transit analysis,APPENDIX
fig03,fig03_seller_concentration_pareto.png,Seller Concentration Pareto Curve,VERIFIED,"Pop E (N=95,824)",Cumulative seller volume,Sellers (%) vs Orders (%),"3,095 sellers",Structural merchant concentration in SP (70.9% volume),APPENDIX
fig04,fig04_category_volume_vs_revenue_share.png,Top Category Volume and GMV Share,VERIFIED,"Pop E (N=95,824)",Platform order volume and GMV,"Orders (count), GMV (BRL)","71 categories, top 10 highlighted",Identifies volume exposure across top categories,KEEP
fig05,fig05_delivery_duration_distribution.png,Delivery Duration Histogram & Decomposition,VERIFIED,"Pop E (N=95,824)",Fulfillment duration distribution,Days (duration),"95,824 delivered orders",Decomposes total duration (12.5d) into carrier (9.3d) and seller (2.8d),KEEP
fig06,fig06_delivery_delay_distribution_and_buffer.png,Delivery Delay vs Promised SLA Buffer,VERIFIED,"Pop E (N=95,824)",Delivery delay days relative to estimate,Days late/early,"95,824 orders (7,655 late, 88,169 on-time/early)",Demonstrates delivery buffer compression and late tail,KEEP
fig07,fig07_review_score_distribution_polarization.png,Review Score Polarization (U-Shape),VERIFIED,"Pop E (N=95,824)",Total review counts by star rating,"Orders (count), Share (%)","95,824 reviews (12,272 low reviews)",Shows extreme polarization (57.8% 5-star vs 10.3% 1-star),APPENDIX
fig08,fig08_review_score_by_delay_bucket.png,Customer Satisfaction Across Delay Strata,VERIFIED,"Pop E (N=95,824)",Orders within 5 delay strata,"Mean Score, Low Review Rate (%)","95,824 orders","Visualizes non-linear collapse across early, on-time, minor, mod, and severe late",KEEP
fig09,fig09_survey_trigger_pre_vs_post_delivery.png,Survey Trigger Timing vs Physical Delivery Scan,VERIFIED,"Pop E (N=95,824)",Orders by survey timing relative to delivery,Days delta (Survey - Delivery),"95,824 orders","Identifies pre-delivery survey anomaly (4,976 strict pre-delivery)",KEEP
fig10,fig10_payment_type_share_and_aov.png,Payment Type Share and Average Order Value,VERIFIED,"Pop A (N=99,441)",Orders by dominant payment method,"Share (%), AOV (BRL)","99,440 orders with payment records","Documents payment mix (73.9% credit card, 19.0% boleto)",KEEP
fig11,fig11_installments_vs_ticket_value.png,Installment Financing Depth vs Basket Value,VERIFIED,"Pop A Credit Card Orders (N=73,500+)",Orders by installment tier (1 to 10+),"Installments (count), Ticket (BRL)","73,500+ credit card orders",Answers Q5: financing scales with ticket size without driving dissatisfaction,APPENDIX
fig12,fig12_geographic_flow_seller_to_customer_states.png,Inter-State Logistics Flow Matrix (Seller to Customer),VERIFIED,"Pop E (N=95,824)",State-to-state order matrix,Flow Volume (orders),"95,824 orders",Documents 64.0% interstate flows originating primarily from SP (70.9%),KEEP
fig13,fig13_haversine_distance_vs_delivery_duration.png,Geographic Distance vs Delivery Duration Scatter,VERIFIED,"Pop F (N=95,348)",Distance (km) vs Duration (days),km vs days,"95,348 complete spatial cases","Confirms distance operates through duration (r=0.40), not direct dissatisfaction",APPENDIX
fig14,fig14_regional_corridor_delay_heatmap.png,Regional Logistics Corridor Delay Heatmap,VERIFIED,"Pop E (N=95,824)",Top 20 state-to-state corridors,"Late Rate (%), Mean Days",Top corridors with N > 500,Isolates SP->RJ (15.3% late) and SP->BA (17.6d transit),KEEP
fig15,fig15_category_delay_vs_review_sensitivity.png,Category Sensitivity: Delay vs Satisfaction Slope,VERIFIED,"Pop E (N=95,824)",Top 15 categories by order volume,Review Score vs Delay Days,Top 15 categories,Proves category slopes are parallel (negligible interaction partial eta^2 = 0.073%),KEEP
fig16,fig16_freight_share_vs_satisfaction.png,Freight Burden Share vs Review Score Distribution,VERIFIED,"Pop E (N=95,824)",Orders across freight share deciles,Freight % of GMV vs Score,"95,824 orders",Confirms controlled non-association between freight cost and review score (OR=1.00),APPENDIX
fig17,fig17_repeat_vs_onetime_customer_experience.png,Repeat Buyer vs First-Time Customer Satisfaction,VERIFIED,"Pop E Unique Customers (N=92,500+)",One-time (97%) vs Repeat (3%) buyers,"Mean Score, Late Rate (%)","95,824 orders",Deep-dive: repeat buyers exhibit identical satisfaction profiles,APPENDIX
fig18,fig18_executive_exploratory_dashboard.png,Executive Exploratory Summary Dashboard,VERIFIED,"Pop E (N=95,824)",Multi-panel EDA overview,Multi-metric,"95,824 orders",Comprehensive executive overview from Module 3,APPENDIX
fig19,fig19_delay_vs_predicted_low_review_probability.png,Delivery Delay vs Predicted Low-Review Probability,VERIFIED,"Pop E (N=95,824)",Logistic regression predicted probabilities,Delay Days vs P(Score <= 2),"95,824 orders",Shows logistic steepening past promised date and flattening past 10 days,KEEP
fig20,fig20_delay_threshold_piecewise_spline_fit.png,Piecewise Linear Fit & AIC Breakpoint Search,VERIFIED,"Pop E (N=95,824)","Grid search over tau in [0.5, 10.0]",Candidate tau (days) vs Delta AIC,"95,824 orders",Econometrically establishes tau=0.5d slope break and tau=3.5d escalation zone,KEEP
fig21,fig21_survey_timing_adjusted_odds_comparison.png,Survey Timing Odds Ratios Across 4 Operational Definitions,VERIFIED,"Pop E (N=95,824)",Multivariate adjusted logistic odds ratios,Odds Ratio (95% CI),"95,824 orders across 4 timing definitions",Demonstrates robust association of pre-delivery survey timing (OR=12.50x),KEEP
fig22,fig22_delivery_accountability_seller_vs_carrier.png,Fulfillment Accountability: Carrier Transit vs Seller Handling,VERIFIED,"Pop E (N=95,824)",Standardized Z-scores in Model D,"Standardized OR (95% CI), Duration Share (%)","95,824 orders",Shows carrier transit is 76.9% of duration and has 3.16x excess odds per SD vs handling,KEEP
fig23,fig23_geographic_corridor_risk_matrix.png,Geographic Corridor Risk Matrix (Volume vs Late Rate),VERIFIED,"Pop E (N=95,824)",Corridor order volume vs Late delivery rate,Orders vs Late Rate (%),Top interstate corridors,Isolates SP->RJ as the single dominant absolute risk corridor,KEEP
